online_shop,product_id,product_name,product_key,shop_name,condition,price,view_count,sold_count,rating_average,review_count
tokopedia,556750762,"JAMES MAN BAJU KEMEJA POLOS PRIA LENGAN PANJANG KEMEJA FORMAL PRIA - Hijau, M",james-man-baju-kemeja-polos-pria-lengan-panjang-kemeja-formal-pria-hijau-m,fortklass,NEW,54000,50330,512,4.5,201
tokopedia,1873407432,"MATSUDA T Shirt Pria Kaos Stripe Edogawa - GREEN, M",matsuda-t-shirt-pria-kaos-stripe-edogawa-green-m,matsudaapparel,NEW,68000,13554,542,4.8,283
tokopedia,2003903303,"MATSUDA Kaos Polo Shirt Pria Kerah Akikata - BLUE GREY, M",matsuda-kaos-polo-shirt-pria-kerah-akikata-blue-grey-m,matsudaapparel,NEW,79000,16815,537,4.9,352
tokopedia,1730689315,Kaos Unisex Erigo T-Shirt Taonami Cotton Combed Cream - S,kaos-unisex-erigo-t-shirt-taonami-cotton-combed-cream-s,erigo,NEW,65000,21064,517,4.8,314
tokopedia,1673660751,Kaos Unisex Erigo T-Shirt Okinawa Beach Cotton Combed White - S,kaos-unisex-erigo-t-shirt-okinawa-beach-cotton-combed-white-s,erigo,NEW,65000,23833,503,4.8,290
tokopedia,1140720432,Kemeja Polos Pria Lengan Panjang | Baju Cowok Distro Grandad Murah - XL,kemeja-polos-pria-lengan-panjang-baju-cowok-distro-grandad-murah-xl,aljosa,NEW,70000,52142,505,4.7,223
tokopedia,856562212,"Kemeja polos pria lengan pendek baju cowok slimfit - Navy, M",kemeja-polos-pria-lengan-pendek-baju-cowok-slimfit-navy-m,goodfella,NEW,65500,31912,494,4.5,148
tokopedia,2099119688,"KALE T-shirt Yovan Navy / Kaos Pria / Baju Pria warna Navy - Navy, S",kale-t-shirt-yovan-navy-kaos-pria-baju-pria-warna-navy-navy-s,kaleclothing,NEW,67500,15862,508,4.9,334
tokopedia,1259125421,"[POLO COUNTRY] Polo Shirt Lengan Panjang - 2729 - Putih, M",polo-country-polo-shirt-lengan-panjang-2729-putih-m,polocountryid,NEW,139500,17951,497,4.9,266
tokopedia,1630767345,Kaos Unisex Erigo T-Shirt Healty Bike Cotton Combed Navy - S,kaos-unisex-erigo-t-shirt-healty-bike-cotton-combed-navy-s,erigo,NEW,65000,29584,492,4.8,317
tokopedia,1631535862,Kaos Unisex Erigo T-Shirt Revolt Cotton Combed Navy - M,kaos-unisex-erigo-t-shirt-revolt-cotton-combed-navy-m,erigo,NEW,65000,25446,493,4.8,357
tokopedia,1824415909,Kaos Unisex Erigo T-Shirt Erigo Championship Cotton Combed White - S,kaos-unisex-erigo-t-shirt-erigo-championship-cotton-combed-white-s,erigo,NEW,65000,17390,499,4.9,299
tokopedia,670785410,Human Greatness T-shirt Long Sleeve Black - S,human-greatness-t-shirt-long-sleeve-black-s,humangreatness,NEW,74000,27205,492,4.8,260
tokopedia,1633808754,Kaos Unisex Erigo T-Shirt Good Waves Cotton Combed Grey Misty - S,kaos-unisex-erigo-t-shirt-good-waves-cotton-combed-grey-misty-s,erigo,NEW,65000,29872,485,4.8,309
tokopedia,909526076,Jersey DK Super Light Series - Khaki - L,jersey-dk-super-light-series-khaki-l,duraking,NEW,249000,31456,472,4.8,309
tokopedia,1125576114,"DK Super Light V2 (Man) T Heather Seamless Anti Viral Ivory - REGULAR FIT, S",dk-super-light-v2-man-t-heather-seamless-anti-viral-ivory-regular-fit-s,duraking,NEW,109000,25155,470,4.9,326
tokopedia,687568873,Koas PUMA ESS Logo Tee Cotton 85174001 - M,koas-puma-ess-logo-tee-cotton-85174001-m,pumasport,NEW,139300,22731,465,5,312
tokopedia,1811662037,Kaos Unisex Erigo T-Shirt Coco Vilage Cotton Combed Navy - S,kaos-unisex-erigo-t-shirt-coco-vilage-cotton-combed-navy-s,erigo,NEW,65000,16739,462,4.9,290
tokopedia,1048899575,FTSL BAJU KAOS TURTLENECK TURTLE NECK PRIA LENGAN PANJANG LONGSLEEVE D - Dongker,ftsl-baju-kaos-turtleneck-turtle-neck-pria-lengan-panjang-longsleeve-d-dongker,ftslapparel,NEW,55000,46741,460,4.5,217
tokopedia,1631618707,Kaos Unisex Erigo T-Shirt Southern Cotton Combed Navy - L,kaos-unisex-erigo-t-shirt-southern-cotton-combed-navy-l,erigo,NEW,65000,15024,451,4.9,256
tokopedia,1096808154,"Baju Kaos Bucky Lengan Panjang Cowok Atasan Pria Fashion Kekinian - navy fanta, standart",baju-kaos-bucky-lengan-panjang-cowok-atasan-pria-fashion-kekinian-navy-fanta-standart,queenlabell,NEW,57000,17292,435,4.5,248
tokopedia,1649944987,Kaos Unisex Erigo T-Shirt Surf In Japan Cotton Combed Olive - S,kaos-unisex-erigo-t-shirt-surf-in-japan-cotton-combed-olive-s,erigo,NEW,65000,15595,455,4.8,281
tokopedia,1579192346,"KAOS PRIA ROUND NECK HICOOP MEN HL-09 T-SHIRT 1 IN 1 - Abu-abu,M",kaos-pria-round-neck-hicoop-men-hl-09-t-shirt-1-in-1-abu-abu-m,hicoop-store,NEW,39900,5088,455,4.8,108
tokopedia,1673660883,Kaos Unisex Erigo T-Shirt Chooper Club Cotton Combed White - S,kaos-unisex-erigo-t-shirt-chooper-club-cotton-combed-white-s,erigo,NEW,65000,16599,448,4.8,270
tokopedia,1450374556,Kemeja Flanel Cowok Lengan Panjang Kotak kotak Levis | Baju Flannel - M,kemeja-flanel-cowok-lengan-panjang-kotak-kotak-levis-baju-flannel-m,aljosa,NEW,75000,38920,442,4.7,234
tokopedia,1631650901,Kaos Unisex Erigo T-Shirt Stripe Harve Cotton Combed White - S,kaos-unisex-erigo-t-shirt-stripe-harve-cotton-combed-white-s,erigo,NEW,74900,13050,436,4.9,278
tokopedia,1630911125,Kaos Unisex Erigo T-Shirt Japan Drift Cotton Combed Black - S,kaos-unisex-erigo-t-shirt-japan-drift-cotton-combed-black-s,erigo,NEW,65000,24057,437,4.9,284
tokopedia,341811966,"DUDE MAN BAJU KEMEJA HEM POLOS PRIA LENGAN PANJANG KEMEJA FORMAL COWOK - Hitam, XL",dude-man-baju-kemeja-hem-polos-pria-lengan-panjang-kemeja-formal-cowok-hitam-xl,fortklass,NEW,55000,50563,428,4.5,142
tokopedia,1633860414,Kaos Unisex Erigo T-Shirt Torraido Cotton Combed Maroon - S,kaos-unisex-erigo-t-shirt-torraido-cotton-combed-maroon-s,erigo,NEW,65000,14055,428,4.9,293
tokopedia,341814060,"GANDY MAN BAJU KEMEJA POLOS PRIA LENGAN PENDEK KEMEJA CASUAL PRIA - Abu-abu, XS",gandy-man-baju-kemeja-polos-pria-lengan-pendek-kemeja-casual-pria-abu-abu-xs,fortklass,NEW,41000,42417,403,4.4,124
