online_shop,product_id,product_key,shop_name,view_count,sold_count,rating_average,review_count,kategori_penjualan
tokopedia,1631452446,kaos-unisex-erigo-t-shirt-okinawa-rides-cotton-combed-black-m,erigo,9253,208,4.8,139,Atas
tokopedia,1221796962,dk-daily-active-wear-bi-colors-light-brown-grey-regular-fit-s,duraking,7260,205,4.9,132,Atas
tokopedia,1221735273,dk-daily-active-wear-tri-colors-shirt-grey-red-regular-fit-s,duraking,9353,202,4.9,130,Atas
tokopedia,1631511777,kaos-unisex-erigo-t-shirt-race-cotton-combed-navy-s,erigo,7677,205,4.8,134,Atas
tokopedia,327215446,jiggy-man-baju-kemeja-hem-polos-pria-lengan-panjang-kemeja-formal-cowo-merah-muda,fortklass,44413,202,4.6,69,Atas
tokopedia,1631655995,kaos-unisex-erigo-t-shirt-stripe-gazzy-cotton-combed-maroon-s,erigo,6630,204,4.8,139,Atas
tokopedia,1144586061,iro-basic-unisex-t-shirt-8-warna-pilihan-biru-s,sritexofficial,4377,201,4.8,54,Atas
tokopedia,1464328188,t-shirt-kremlin-umbrella-m,kremlinofficial,6999,198,4.9,164,Atas
tokopedia,1221755007,dk-daily-active-wear-tri-colors-seamless-tosca-navy-regular-fit-s,duraking,6815,201,4.9,134,Atas
tokopedia,1811643352,kaos-unisex-erigo-t-shirt-keino-cotton-combed-black-l,erigo,10713,203,4.9,117,Atas
tokopedia,354163224,polo-shirt-hitam-polos-pendek-kaos-pria-kerah-koko-baju-kaos-kerah-abu-abu-muda-xl,brotherholicstor,15586,201,4.8,73,Atas
tokopedia,1673660954,kaos-unisex-erigo-t-shirt-japan-journey-cotton-combed-black-s,erigo,11820,200,4.8,101,Atas
tokopedia,1211874712,human-greatness-midweight-t-shirt-dark-grey-s,humangreatness,5818,195,4.9,101,Atas
tokopedia,1630897356,kaos-unisex-erigo-t-shirt-fuji-sun-cotton-combed-emerald-s,erigo,7021,198,4.8,127,Atas
tokopedia,1630920467,kaos-unisex-erigo-t-shirt-custom-bike-cotton-combed-black-s,erigo,10378,198,4.8,127,Atas
tokopedia,1687125743,kaos-unisex-erigo-t-shirt-radical-club-cotton-combed-navy-m,erigo,9660,197,4.8,117,Atas
