online_shop,product_id,product_name,shop_id,shop_city,is_official,price,sold_count,rating_average,view_count,liked_count
shopee,9819513779,kaos beige cream panjang oversize tshirt longsleeve  baju kaos wanita & pria tumblr tee lilac cream,68399729,KOTA JAKARTA UTARA,False,34000,173,4.84,1249,132
shopee,8300559408,double lucky / oversize sweater / sweater babyterry / baju atasan wanita / all size,203556188,KOTA TANGERANG,False,75000,173,4.9,1030,83
shopee,7913489926,baju kain tenun lombok,17783948,KAB. LOMBOK TENGAH,False,85000,173,4.7,7257,597
shopee,6209147110,readybasic -baju kaos wanita lengan panjang bahan rajut waffle premium,175989173,KOTA TANGERANG,False,35000,172,4.74,7034,166
shopee,4151952372,pakaian atasan muslim tunik miyazawa celesta jeans wash chanel wanita terbaru kekinian modis murah,84322406,KOTA SURAKARTA (SOLO),False,93000,172,4.7,842,97
shopee,3438308727,kaos kurta pakistan polos ukuran besar jumbo big size xl xxl xxxl,262411933,KAB. BANDUNG BARAT,False,29000,172,4.67,420,17
shopee,6008165684,terbaru kaos dinarry fashion style zolaqu atasan baju wanita lengan panjang muslim for hijab,202072684,KAB. SUMEDANG,False,69240,172,4.97,1239,48
shopee,12322796382,baju long tunik wanita remaja polos jumbo kekinian warna hitam bahan katun rayon gwo 13,488913848,KAB. BANDUNG,False,74300,172,5.0,165,0
shopee,12223738457,tunik brukat wanita baju muslim remaja rayon kondangan polos brokat mix lebaran mewah murah terbaru,555466413,KAB. OGAN KOMERING ULU TIMUR,False,69000,172,5.0,29,3
shopee,4918465309,kaos greenlight cewek baju wanita lengan pendek t-shirt distro cewe,7986205,KOTA SALATIGA,False,45000,172,4.8,757,43
shopee,10256809074,kemeja putih wanita lengan panjang kantong satu kerja kantor jungkis pinggang kecil baju sekolah,555466413,KAB. OGAN KOMERING ULU TIMUR,False,27000,172,5.0,9,2
shopee,9911430957,baju hush puppies original combed 30s - kaos pakaian atasan pria dan wanita unisex,319308842,KOTA BEKASI,False,30000,172,4.44,736,49
shopee,5239462402,tunik muslim hlgirl bos love lengan kombinasi saku kiri kanan,108425938,KOTA JAKARTA BARAT,False,26700,172,4.84,3251,37
shopee,12104730620,damai fashion jakarta - asli jumbo baju atasan kaos jumbo - big size judit judit- konveksimurah,32635826,KOTA JAKARTA UTARA,False,17350,172,4.75,2761,42
shopee,7453311952,        adelia tunik premium / tunik wanita / tunik muslim wanita / pakaian muslim wanita,169216671,KOTA SURAKARTA (SOLO),False,29999,172,4.49,867,61
shopee,9971120703,lily blouse atasan wanita wilona blouse atasan jombo  ukuran xxl ld 120,235226645,KAB. BANDUNG,False,44000,172,4.73,5276,205
shopee,4120348227,gudang baju kulakan tshirt bubble gum tee tumbler tee wanita,201288231,KOTA JAKARTA BARAT,False,5000,172,4.11,1348,40
shopee,9032238702,kaos beige mocca katun oversize  baju tshirt tumblr tee khaki cream coklat basic billie butterfly,79514129,KOTA JAKARTA BARAT,False,6999,172,4.27,613,56
shopee,12113960344,zolaqu kaos zolaqu bukan original terbaru 2021 a kaos baju atasan zolaqu jolaqu zolaku wanita ori terbaru,544272314,KAB. CIREBON,False,65000,172,5.0,458,2
shopee,4175267537,camelia blouse / baju busui / busui bukaan kanan kiri / baju busui adem,14728348,KOTA SURABAYA,False,155500,171,4.82,6916,516
shopee,8934218203,arfa style omega blouse - baju busui friendly warna putih - pakaian atasan wanita - murah/bisa cod,389415302,KOTA CIMAHI,False,60000,171,4.64,4736,640
shopee,9241598787,kaos couple keluarga family kaos couple sarimbit keluarga oblong never give up navi kaos pasangan,10814112,KAB. BANDUNG,False,27000,171,4.79,2877,33
shopee,3958983838,manset dalaman baju lengan panjang kaos polos wanita pria all size fit to l,289297314,KAB. TASIKMALAYA,False,29900,171,4.81,207,31
shopee,4262910670,premium / atasan wanita rajut import g11 g10 / blouse knit / baju rajut,11879475,KOTA JAKARTA PUSAT,False,90750,171,4.94,1858,263
shopee,8917561890,arfa style viral!! baju kondangan/pesta/acara formal 2021 - amor top - atasan wanita termurah,389415302,KOTA CIMAHI,False,50000,171,4.74,4357,626
shopee,3740906287,kings 60626466 l-3xl ananda tunic baju atasan tunic fashion wanita muslim terbaruterkini & terlaris,273497415,KOTA JAKARTA BARAT,False,61000,171,4.54,4535,89
shopee,8688983450,beatrice clothing suwon blouse - atasan wanita,61293534,KOTA JAKARTA BARAT,True,175000,171,4.99,8273,121
shopee,9129015578,baju kaos wanita cotton combed 30s polos,158190750,KOTA JAKARTA TIMUR,False,35000,171,4.65,3692,1368
shopee,5256272911,baju kaos pakaian olahraga senam wanita nk aerobic baju sport wanita import,221167356,KOTA JAKARTA BARAT,False,42900,171,4.79,693,63
shopee,11702421410,new retro temperamen lengan pendek kemeja wanita baju kerah sederhana dan serbaguna atas slim,358660241,KOTA SURABAYA,False,73000,170,4.79,7341,758
shopee,13016327687,mystiqueid - baju kaos keluarga orang tua dan anak baby shark ukuran s-xxl,325944582,KOTA JAKARTA BARAT,False,27000,170,5.0,85,0
shopee,7854357273,baju wanita baju atasan batik / blouse batik jumbo / baju batik wanita big size / baju atasan cewek,34225695,KOTA JAKARTA UTARA,False,35000,170,4.41,4585,141
shopee,3388568744,gialo tunik - atasan tunik katun rayon - tunik busui - tunik kombinasi - tunik katun,45150791,KAB. SUKOHARJO,False,89000,170,4.9,3706,181
shopee,6356397484,baju kutung katun terlaris,27168347,KAB. BANDUNG,False,5000,170,4.89,58,11
shopee,5239550563,kings 4749525555 l-4xl diana tunic jumbo baju atasan tunik jumbo muslim model trkinitrlaristerbaru,273497415,KOTA JAKARTA BARAT,False,48000,170,4.52,3285,52
shopee,8276310787,lucky top atasan baju blouse korean style fashion wanita muslim,30341630,KOTA BANDUNG,False,40900,170,4.67,1653,189
shopee,9072289645,kemeja wanita jumbo 3xl motif bunga kemeja jumbo murah atasan jumbo baju jumbo wanita,50055402,KOTA TANGERANG,False,64500,170,4.94,2505,88
shopee,4344113400,risrus fashion jesika maroon navy hem wanita dewasa lengan panjang baju kemeja cewe cewek polos,3423049,KOTA JAKARTA BARAT,False,29000,169,4.71,1898,155
shopee,10634187950,marbela midi dress tunik / baju atasan wanita,48270519,KOTA SURAKARTA (SOLO),False,55999,169,4.8,4113,101
shopee,4793144396,alisba kemeja ori / korean top / riesa blouse / atasan wanita / atasan kerja,48270519,KOTA SURAKARTA (SOLO),False,34920,169,4.44,2230,103
shopee,9380526277,kemeja salur woolpeach basic oversize stripes shirt ld120~xxl hem blouse top,124419178,KOTA JAKARTA PUSAT,False,79000,169,4.86,15559,701
shopee,3997795635,baju atasan kemeja oversize korean style wanita kotak kotak fit to xl  arnetha top,445680940,KOTA JAKARTA UTARA,False,49999,169,4.29,18864,735
shopee,11611579377,double lucky / vess knit top / atasan rajut katun / baju atasan wanita / kombinasi katun,203556188,KOTA TANGERANG,False,115000,169,4.89,7939,454
shopee,4251847831,baju hamil big size soft&stertch dh-6226,184970318,KOTA JAKARTA UTARA,False,139000,169,4.92,915,198
shopee,6091927682,ra romansa tunik atasan long tunik mix tile polka import fashion terlaris,47063387,KOTA BANDUNG,False,57900,169,4.63,2095,322
shopee,4937797219,ananda tunic baju atasan tunic fashion wanita model terbarutermurah&terlaris,244635820,KOTA SURAKARTA (SOLO),False,33999,169,4.54,903,23
shopee,3362149721,kaos tshirt h and m wanita pria jumbo,291331514,KOTA JAKARTA BARAT,False,29665,169,4.77,703,53
shopee,6591302714,✅  cod - kaos oblong wanita baju distro cewek atasan wanita murah lengan pendek kaos murah,287618853,KOTA JAKARTA BARAT,False,8000,168,4.68,1452,16
shopee,9043527243,kaos couple keluarga  kaos couple family kaos pasangan  kaos distro,379795006,KOTA BANDUNG,False,26400,168,4.71,4404,124
shopee,7241051077,baju atasan basic blouse wanita muslim & casual - elle top & molly kancing top,271202649,KOTA JAKARTA BARAT,False,39000,168,4.84,2174,185
shopee,9638329539, bisa cod  promo kaos polos lengan pendek wanita baju polos pria polos murah t-shirt murah v-neck o-neck oversize surfing kaos santai kaos oblong slim fit cotton combed 30s adem nyaman di pakai polosan termurah dzargo greenlight sipolos roughneck erigo,259397768,KOTA BANDUNG,False,8900,168,4.48,3892,32
shopee,10537957570,shopidara - daily blouse // atasan blouse,473282016,KOTA JAKARTA PUSAT,False,68440,168,4.89,2179,28
shopee,10816786672,blouse wanita pralin blouse - atasan wanita  - blouse korea - blouse terbaru - korean style,17398516,KOTA BANDUNG,False,58000,168,4.51,7661,381
shopee,6605015784,baju tshirt kaos wanita distro kerah oblong lengan pendek banana all size dewasa lilipop murah,48542715,KOTA JAKARTA BARAT,False,12889,168,4.37,611,76
shopee,11832663130,viria / vneck rib lengan pendek   baju wanita t-shirt crop top,512691634,KOTA BATAM,False,15792,168,5.0,718,2
